"query","search interest","increase percent"
"ev",100,"6%"
"ev punch",36,"250%"
"punch ev",36,"300%"
"punch",35,"300%"
"tata",16,"50%"
"tata ev",16,"50%"
"ev car",13,"-5%"
"punch ev price",11,"250%"
"tata punch ev",8,"200%"
"tata punch",8,"200%"
"ev cars",6,"-7%"
"punch on road price",6,"200%"
"punch ev on road price",6,"200%"
"punch ev price on road",6,"200%"
"nexon",5,"20%"
"nexon ev",5,"20%"
"ev scooter",5,"-30%"
"punch ev 2026",5,"300%"
"new punch ev",5,"350%"
"punch ev new",5,"350%"
"punch facelift ev",5,"250%"
"punch facelift",5,"250%"
"punch ev facelift",5,"250%"
"mahindra",4,"-20%"
"mahindra ev",4,"-20%"
"electric vehicle",4,"-30%"
"mg ev",3,"-20%"
"tata punch ev price",3,"200%"
"baas ev",3,"750%"
"tata ev car",3,"40%"
"ev bike",3,"-30%"
"electric cars",3,"30%"
"electric car",3,"-10%"
"ev cars in india",3,"-3%"
"punch ev baas",2,"Breakout"
"nexon ev price",2,"8%"
"punch ev facelift 2026",2,"300%"
"punch ev range",2,"200%"
"windsor ev",2,"0%"
"tata punch on road price",2,"180%"
"tata ev punch on road price",2,"170%"
"tata punch ev on road price",2,"180%"
"kia ev",2,"-20%"
"maruti ev",2,"-30%"
"tata punch ev 2026",2,"300%"
"tata cars",2,"30%"
"tvs ev",2,"-20%"
"tata ev cars",2,"30%"
"ev scooter price",2,"-20%"
"tata nexon ev",2,"30%"
